,density,relative_humidity,Run,BurnedOut,height,width
465,0.05,66,465,0.007874015748031496,100,100
466,0.05,67,466,0.008676789587852495,100,100
467,0.05,68,467,0.006211180124223602,100,100
468,0.05,69,468,0.014198782961460446,100,100
469,0.05,70,469,0.011741682974559686,100,100
470,0.05,71,470,0.01609657947686117,100,100
471,0.05,72,471,0.011037527593818985,100,100
472,0.05,73,472,0.004032258064516129,100,100
473,0.05,74,473,0.012072434607645875,100,100
474,0.05,75,474,0.01279317697228145,100,100
475,0.05,76,475,0.01026694045174538,100,100
476,0.05,77,476,0.007532956685499058,100,100
477,0.05,78,477,0.021321961620469083,100,100
478,0.05,79,478,0.007797270955165692,100,100
479,0.05,80,479,0.01026694045174538,100,100
480,0.05,81,480,0.01006036217303823,100,100
481,0.05,82,481,0.01609657947686117,100,100
482,0.05,83,482,0.010121457489878543,100,100
483,0.05,84,483,0.02095238095238095,100,100
484,0.05,85,484,0.005802707930367505,100,100
485,0.05,86,485,0.008064516129032258,100,100
486,0.05,87,486,0.009541984732824428,100,100
487,0.05,88,487,0.010040160642570281,100,100
488,0.05,89,488,0.012448132780082987,100,100
489,0.05,90,489,0.01195219123505976,100,100
490,0.05,91,490,0.003937007874015748,100,100
491,0.05,92,491,0.012244897959183673,100,100
492,0.05,93,492,0.004140786749482402,100,100
493,0.05,94,493,0.02044989775051125,100,100
494,0.05,95,494,0.0099601593625498,100,100
495,0.05,96,495,0.007575757575757576,100,100
496,0.05,97,496,0.008456659619450317,100,100
497,0.05,98,497,0.009671179883945842,100,100
498,0.05,99,498,0.012738853503184714,100,100
499,0.05,100,499,0.008113590263691683,100,100
500,0.06,1,500,0.01384083044982699,100,100
501,0.06,2,501,0.006802721088435374,100,100
502,0.06,3,502,0.008445945945945946,100,100
503,0.06,4,503,0.010638297872340425,100,100
504,0.06,5,504,0.009419152276295133,100,100
505,0.06,6,505,0.008169934640522876,100,100
506,0.06,7,506,0.0035460992907801418,100,100
507,0.06,8,507,0.01001669449081803,100,100
508,0.06,9,508,0.006430868167202572,100,100
509,0.06,10,509,0.008278145695364239,100,100
510,0.06,11,510,0.016778523489932886,100,100
511,0.06,12,511,0.001639344262295082,100,100
512,0.06,13,512,0.008038585209003215,100,100
513,0.06,14,513,0.011764705882352941,100,100
514,0.06,15,514,0.0078003120124804995,100,100
515,0.06,16,515,0.013114754098360656,100,100
516,0.06,17,516,0.020618556701030927,100,100
517,0.06,18,517,0.01011804384485666,100,100
518,0.06,19,518,0.01288244766505636,100,100
519,0.06,20,519,0.006825938566552901,100,100
520,0.06,21,520,0.02,100,100
521,0.06,22,521,0.015570934256055362,100,100
522,0.06,23,522,0.014705882352941176,100,100
523,0.06,24,523,0.014900662251655629,100,100
524,0.06,25,524,0.013377926421404682,100,100
525,0.06,26,525,0.013490725126475547,100,100
526,0.06,27,526,0.005136986301369863,100,100
527,0.06,28,527,0.012841091492776886,100,100
528,0.06,29,528,0.01517706576728499,100,100
529,0.06,30,529,0.006944444444444444,100,100
530,0.06,31,530,0.01694915254237288,100,100
531,0.06,32,531,0.00625,100,100
532,0.06,33,532,0.01652892561983471,100,100
533,0.06,34,533,0.009140767824497258,100,100
534,0.06,35,534,0.008103727714748784,100,100
535,0.06,36,535,0.016216216216216217,100,100
536,0.06,37,536,0.006514657980456026,100,100
537,0.06,38,537,0.009074410163339383,100,100
538,0.06,39,538,0.014184397163120567,100,100
539,0.06,40,539,0.011764705882352941,100,100
540,0.06,41,540,0.023529411764705882,100,100
541,0.06,42,541,0.0144,100,100
542,0.06,43,542,0.005050505050505051,100,100
543,0.06,44,543,0.01078582434514638,100,100
544,0.06,45,544,0.007898894154818325,100,100
545,0.06,46,545,0.012089810017271158,100,100
546,0.06,47,546,0.0046801872074883,100,100
547,0.06,48,547,0.012152777777777778,100,100
548,0.06,49,548,0.011705685618729096,100,100
549,0.06,50,549,0.020933977455716585,100,100
550,0.06,51,550,0.00528169014084507,100,100
551,0.06,52,551,0.011570247933884297,100,100
552,0.06,53,552,0.004878048780487805,100,100
553,0.06,54,553,0.011475409836065573,100,100
554,0.06,55,554,0.009917355371900827,100,100
555,0.06,56,555,0.014516129032258065,100,100
556,0.06,57,556,0.00819672131147541,100,100
557,0.06,58,557,0.007886435331230283,100,100
558,0.06,59,558,0.011308562197092083,100,100
559,0.06,60,559,0.003355704697986577,100,100
560,0.06,61,560,0.00980392156862745,100,100
561,0.06,62,561,0.007259528130671506,100,100
562,0.06,63,562,0.013937282229965157,100,100
563,0.06,64,563,0.010067114093959731,100,100
564,0.06,65,564,0.008012820512820512,100,100
565,0.06,66,565,0.012269938650306749,100,100
566,0.06,67,566,0.010169491525423728,100,100
567,0.06,68,567,0.008431703204047217,100,100
568,0.06,69,568,0.008620689655172414,100,100
569,0.06,70,569,0.011986301369863013,100,100
570,0.06,71,570,0.010291595197255575,100,100
571,0.06,72,571,0.00847457627118644,100,100
572,0.06,73,572,0.0068846815834767644,100,100
573,0.06,74,573,0.01391304347826087,100,100
574,0.06,75,574,0.011128775834658187,100,100
575,0.06,76,575,0.008849557522123894,100,100
576,0.06,77,576,0.0034423407917383822,100,100
577,0.06,78,577,0.011382113821138212,100,100
578,0.06,79,578,0.012944983818770227,100,100
579,0.06,80,579,0.01001669449081803,100,100
580,0.06,81,580,0.00922509225092251,100,100
581,0.06,82,581,0.01206896551724138,100,100
582,0.06,83,582,0.012698412698412698,100,100
